t,queue_depth,in_flight,backlog,completed,active_workers,oldest_queued_wait_s,avg_queue_wait_s,spec_replicas,status_replicas,ready_replicas,unavailable_replicas,hpa_desired,hpa_current,worker_cpu_total_m,worker_cpu_pods,worker_cpu_mean_m
383.64,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
384.91,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
386.09,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
387.28,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
388.59,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
389.79,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
391.0,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
392.3,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
393.53,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
394.72,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
396.03,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
397.23,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
398.43,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
399.74,0,0,0,200,1,0.0,46.212,1,1,1,0,1,1,12,1,12.0
